OBJECTID,quadrat,tag,StemTag,sp,lx,ly,dbh_2018,hom,codes_2018,status_2018,status_2022,comment_2022,mortality,census_status,tree_type,NAD83_X,NAD83_Y,personnel_list,personnel,date_measured,dbh_2023,status_currentCensus,codes_2023,code_choices,notes_currentCensus,DBH check,living_status,crown_position,crown_intact,crown_living,fad,fad_choices,lean_angle,wounded_main_stem,rotting_trunk,canker_swelling_deformity,dead_with_resprout,crown_check,GlobalID,CreationDate,Creator,EditDate,Editor,species,liana_load,multi stemmed,dbh_2018_mm,numeric_tag,hom_alert,lean_direction,comment_mortality,x,y
50769,0113,10790,1,astr,,,,1.3,,,,,0,1,recruit,,,IK,"KB,IK",4/13/2023 3:41:46 PM,12,LI,,,,,,,,,,,,,,,0,,060d37aa-b159-401c-b826-0a5e0a6f2785,4/13/2023 3:41:53 PM,shuej21,4/19/2023 2:56:07 PM,shuej21,astr,0,,,,,,,-78.1474794234139,38.8929377168356
50770,0113,10791,1,astr,,,,1.3,,,,,0,1,recruit,,,KB,"IK,KB",4/13/2023 3:44:49 PM,10,LI,,,,,,,,,,,,,,,0,,535130d9-c5b0-40b7-935d-9f31f34ba4f2,4/13/2023 3:44:53 PM,shuej21,4/19/2023 2:56:03 PM,shuej21,astr,0,,,,,,,-78.1474744683087,38.892931823472
50771,0113,10784,1,astr,,,,1.3,,,,,0,1,recruit,,,IK,"KB,IK",4/13/2023 3:49:24 PM,13,LI,,,,,,,,,,,,,,,0,,7ba932f7-3472-4d95-911b-397877a20cf7,4/13/2023 3:49:29 PM,shuej21,4/19/2023 2:56:01 PM,shuej21,astr,0,,,,,,,-78.1474914177193,38.8928833907604
50776,0120,10771,1,libe,,,,,,,,,0,1,recruit,,,CT,"KB,CT",4/14/2023 5:45:51 PM,19,LI,,,,,,,,,,,,,,,0,,6d43839d-35c4-48f9-9965-552fb5a6c974,4/14/2023 5:46:06 PM,shuej21,4/24/2023 5:42:38 PM,shuej21,libe,0,,,,,,,-78.1476049305252,38.8940655936939
50777,0120,10772,1,rops,,,,1.3,,,,,0,1,recruit,,,EM,"CT,KB,EM",6/27/2023 3:31:04 PM,46,LI,,,,,,,,,,,,,,,0,,eb417898-d0be-4551-91fb-6341b4fe63cf,4/14/2023 6:24:37 PM,shuej21,6/27/2023 3:31:33 PM,shuej21,rops,0,,,10772,,,,-78.147467684163,38.8940488724344
50778,0116,010792,1,astr,,,,,,,,,,1,recruit,,,DM,"IK,RH,DM",4/14/2023 3:17:17 PM,17,LI,,,,,,,,,,,,,,,0,,b36374d5-a4d7-47e2-ad3d-6518466d681b,4/14/2023 3:17:47 PM,shuej21,4/24/2023 5:42:27 PM,shuej21,astr,0,,,,,,,-78.1476878863694,38.893329898138
50779,0116,10793,1,astr,,,,,,,,,,1,recruit,,,RH,"DM,IK,RH",4/14/2023 3:25:41 PM,47,LI,,,,,,,,,,,,,,,0,,71856990-a23a-44ed-8e0c-e02ad93106d9,4/14/2023 3:25:51 PM,shuej21,4/24/2023 5:42:20 PM,shuej21,astr,0,,,,,,,-78.147674821276,38.8933297597013
50780,0116,10794,1,astr,,,,,,,,,0,1,recruit,,,IK,"RH,IK",4/14/2023 3:43:02 PM,12,LI,,,,,,,,,,,,,,,0,,ffe2191a-2b0c-47ca-9f63-b3722e7c17de,4/14/2023 3:43:15 PM,shuej21,4/24/2023 5:42:16 PM,shuej21,astr,0,,,,,,,-78.1476698823378,38.8933660978188
50781,0116,10795,1,astr,,,,,,,,,0,1,recruit,,,RH,"IK,RH",4/14/2023 3:45:39 PM,12,LI,,,,,,,,,,,,,,,0,,499e1c12-cff4-45de-8b13-374823179acb,4/14/2023 3:46:08 PM,shuej21,4/24/2023 5:42:12 PM,shuej21,astr,0,,,,,,,-78.1476702156121,38.8933741501915
50782,0116,10796,1,astr,,,,,,,,,,1,recruit,,,,"IK,RH",,20,LI,,,,,,,,,,,,,,,0,,e8603932-8ddd-4f7d-87ac-0fbc118396d7,4/14/2023 3:56:04 PM,shuej21,4/24/2023 5:42:07 PM,shuej21,astr,0,,,,,,,-78.1476266715857,38.8934239368641
50783,0116,10797,1,astr,,,,,,,,,0,1,recruit,,,RH,"IK,RH",4/14/2023 3:58:08 PM,12,LI,,,,,,,,,,,,,,,0,,a7eaaa5d-3c6a-4aed-9df5-85e311cf6cce,4/14/2023 3:58:14 PM,shuej21,4/24/2023 5:41:18 PM,shuej21,astr,0,,,,,,,-78.1476386542099,38.8934174443509
50784,0119,10798,1,astr,,,,1.3,,,,,0,1,recruit,,,IK,"RH,IK",4/14/2023 5:13:44 PM,18,LI,,,,,,,,,,,,,,,0,,aa716e4c-6a1f-4278-9d7e-277433d32242,4/14/2023 5:13:52 PM,shuej21,4/24/2023 5:41:13 PM,shuej21,astr,0,,,,,,,-78.1476415629227,38.8939104863626
50785,0119,10799,1,astr,,,,1.3,,,,,0,1,recruit,,,IK,"RH,IK",4/14/2023 5:22:11 PM,13,LI,,,,,,,,,,,,,,,0,,c5f4d54f-ec26-4d36-b697-d73d1f679122,4/14/2023 5:22:14 PM,shuej21,4/24/2023 5:41:15 PM,shuej21,astr,0,,,,,,,-78.1476426346118,38.8939217093977
50786,0119,10759,1,astr,,,,1.3,,,,,0,1,recruit,,,IK,"RH,IK",4/14/2023 5:23:06 PM,14,LI,,,,,,,,,,,,,,,0,,37b9e85c-9958-48d8-9cd2-803b3f67a5a8,4/14/2023 5:23:12 PM,shuej21,4/24/2023 5:41:07 PM,shuej21,astr,0,,,,,,,-78.1476452855391,38.8939258974101
50787,0119,10760,1,astr,,,,1.3,,,,,0,1,recruit,,,IK,"RH,IK",4/14/2023 5:25:11 PM,14,LI,,,,,,,,,,,,,,,0,,84b80d2d-246e-4e65-8af1-6050a8f4f0ff,4/14/2023 5:25:15 PM,shuej21,4/24/2023 5:40:58 PM,shuej21,astr,0,,,,,,,-78.14764751336,38.8939305161092
50788,0119,10764,1,astr,,,,1.3,,,,,0,1,recruit,,,IK,"RH,IK",4/14/2023 5:26:19 PM,17,LI,,,,,,,,,,,,,,,0,,8744d2b6-d7a8-44cb-81c1-50eb221e0014,4/14/2023 5:26:23 PM,shuej21,4/24/2023 5:40:59 PM,shuej21,astr,0,,,,,,,-78.1476480792982,38.8939354983749
50789,0119,10765,1,astr,,,,1.3,,,,,0,1,recruit,,,IK,"RH,IK",4/14/2023 5:28:18 PM,23,LI,,,,,,,,,,,,,,,0,,ba597419-a1a6-4e0e-b88d-426eef9938c8,4/14/2023 5:28:22 PM,shuej21,4/24/2023 5:40:50 PM,shuej21,astr,0,,,,,,,-78.1476482212316,38.8939402338342
50790,0119,10766,1,astr,,,,1.3,,,,,0,1,recruit,,,IK,"RH,IK",4/14/2023 5:29:12 PM,11,LI,,,,,,,,,,,,,,,0,,ca0b6409-9bd3-472a-b9e6-05c5ca6d54f7,4/14/2023 5:29:15 PM,shuej21,4/24/2023 5:40:50 PM,shuej21,astr,0,,,,,,,-78.1476370417014,38.8939407847775
50791,0119,10767,1,libe,,,,1.3,,,,,0,1,recruit,,,IK,"RH,IK",4/14/2023 5:35:10 PM,13,LI,,,,,,,,,,,,,,,0,,e1395104-f14f-424f-a9bb-d330806a62f3,4/14/2023 5:35:13 PM,shuej21,4/24/2023 5:40:36 PM,shuej21,libe,0,,,,,,,-78.1475489978486,38.8939254478418
50792,0119,10768,1,libe,,,,1.3,,,,,0,1,recruit,,,IK,"RH,IK",4/14/2023 5:36:06 PM,13,LI,,,,,,,,,,,,,,,0,,5aa7879a-ca02-41e0-a626-e8cdf5f19ccf,4/14/2023 5:36:17 PM,shuej21,4/24/2023 5:40:33 PM,shuej21,libe,0,,,,,,,-78.1475386097337,38.8939280005011
50793,0119,10769,1,libe,,,,1.3,,,,,0,1,recruit,,,IK,"RH,IK",4/14/2023 5:40:00 PM,34,LI,M,M,,,,,,,,,,,,,0,,5d15798a-e0da-44fe-9990-6a677950afd3,4/14/2023 5:40:10 PM,shuej21,4/24/2023 5:40:36 PM,shuej21,libe,0,,,,,,,-78.1475017608526,38.8939212759085
50797,0121,10827,1,libe,,,,1.3,,,,,0,1,recruit,,,DM,DM,6/27/2023 6:43:24 PM,11,LI,M,M,,,,,,,,,,,,,0,,2633e2d4-b49e-4f6b-b65a-07b664b1a25c,4/18/2023 2:02:26 PM,shuej21,6/27/2023 6:43:33 PM,shuej21,libe,0,,,10827,,,,-78.1476257579404,38.8943529796724
50798,0121,10828,1,libe,,,,1.3,,,,,0,1,recruit,,,DM,DM,6/27/2023 6:44:24 PM,11,LI,,,,,,,,,,,,,,,0,,48e237b6-588b-4d22-998b-3c41d4c6e7ae,4/18/2023 2:48:18 PM,shuej21,6/27/2023 6:44:34 PM,shuej21,libe,0,,,10828,,,,-78.1476198640946,38.8943703860344
50799,0121,10829,1,libe,,,,1.3,,,,,0,1,recruit,,,DM,DM,6/27/2023 6:44:43 PM,12,LI,,,,,,,,,,,,,,,0,,af7479a9-38f0-4984-80ce-3f4f532ba605,4/18/2023 2:50:43 PM,shuej21,6/27/2023 6:44:59 PM,shuej21,libe,0,,,10829,,,,-78.1476101658852,38.8943788752697
50800,0121,10830,1,libe,,,,1.3,,,,,0,1,recruit,,,DM,DM,6/27/2023 6:44:01 PM,11,LI,,,,,,,,,,,,,,,0,,65eb71eb-601e-4630-8986-7ac7e34c8b31,4/18/2023 3:21:49 PM,shuej21,6/27/2023 6:44:11 PM,shuej21,libe,0,,,10830,,,,-78.1476010794327,38.8943197966841
50801,0121,10831,1,libe,,,,1.3,,,,,0,1,recruit,,,DM,DM,6/27/2023 6:43:39 PM,11,LI,,,,,,,,,,,,,,,0,,082c8d93-3c2f-4c81-b339-a9059f37d23c,4/18/2023 3:28:05 PM,shuej21,6/27/2023 6:43:54 PM,shuej21,libe,0,,,10831,,,,-78.1475929748339,38.8943327500833
50802,0124,10870,1,libe,,,,1.3,,,,,0,1,recruit,,,DM,DM,6/28/2023 2:21:21 PM,13,LI,,,,,,,,,,,,,,,0,,fe4a09ec-0f8b-436c-9fa1-5addf03dd12e,4/18/2023 4:58:59 PM,shuej21,6/28/2023 2:21:35 PM,shuej21,libe,0,,,10870,,,,-78.1476735824061,38.8948044068741
50804,0124,10872,1,libe,,,,,,,,,0,1,recruit,,,DM,DM,6/28/2023 2:25:50 PM,18,LI,,,,,,,,,,,,,,,0,,918f378f-20eb-4f10-8bd9-99cb96e84470,4/18/2023 7:36:41 PM,shuej21,6/28/2023 2:26:01 PM,shuej21,libe,0,,,10872,,,,-78.1474712270685,38.8948214083051
50805,0122,10773,1,libe,,,,1.3,,,,,0,1,recruit,,,CT,"KB,CT",4/18/2023 1:51:03 PM,19,LI,M,M,,,,,,,,,,,,,0,,f311a879-04f8-4e6e-bdd8-b8312fb12293,4/18/2023 1:51:19 PM,shuej21,4/24/2023 5:39:30 PM,shuej21,libe,0,,,,,,,-78.147664465432,38.8944116310433
50806,0122,10774,1,libe,,,,1.3,,,,,0,1,recruit,,,KB,"CT,KB",4/18/2023 2:06:36 PM,17,LI,,,,,,,,,,,,,,,0,,c0fa754d-dd36-431b-bc89-4b57c94b72ae,4/18/2023 2:06:55 PM,shuej21,4/24/2023 5:39:25 PM,shuej21,libe,0,,,,,,,-78.1476779114108,38.8944149066201
50807,0122,10775,1,libe,,,,1.3,,,,,0,1,recruit,,,CT,"KB,CT",4/18/2023 2:08:45 PM,11,LI,,,,,,,,,,,,,,,0,,275a2022-ad02-4274-8f1e-8e9aad34cb52,4/18/2023 2:08:51 PM,shuej21,4/24/2023 5:39:19 PM,shuej21,libe,0,,,,,,,-78.1476739354683,38.8944195532536
50808,0122,10776,1,libe,,,,1.3,,,,,0,1,recruit,,,KB,"CT,KB",4/18/2023 2:28:04 PM,10,LI,,,,,,,,,,,,,,,0,,d3e07cfb-e19b-4b88-a5fc-7657890a976a,4/18/2023 2:28:25 PM,shuej21,4/24/2023 5:39:13 PM,shuej21,libe,0,,,,,,,-78.1476079443499,38.8944162119537
50809,0122,10808,1,libe,,,,1.3,,,,,0,1,recruit,,,CT,"KB,CT",4/18/2023 2:31:14 PM,11,LI,,,,,,,,,,,,,,,0,,67ad0ced-28b9-4a34-ac58-b2a181e5bae6,4/18/2023 2:31:31 PM,shuej21,4/24/2023 5:39:07 PM,shuej21,libe,0,,,,,,,-78.1476108486021,38.8944198196321
50810,0122,10809,1,libe,,,,1.3,,,,,0,1,recruit,,,KB,"CT,KB",4/18/2023 2:34:13 PM,11,LI,,,,,,,,,,,,,,,0,,3b09b32f-cef6-442f-b0fc-5a59b3c22e04,4/18/2023 2:34:01 PM,shuej21,4/24/2023 5:39:01 PM,shuej21,libe,0,,,,,,,-78.1476075203447,38.8944234587723
50811,0122,10810,1,libe,,,,1.3,,,,,0,1,recruit,,,CT,"KB,CT",4/18/2023 2:35:48 PM,12,LI,,,,,,,,,,,,,,,0,,597afb63-92cf-459b-a075-a07336dbb519,4/18/2023 2:35:57 PM,shuej21,4/24/2023 5:38:36 PM,shuej21,libe,0,,,,,,,-78.1476353303812,38.8944147416161
50812,0122,10811,1,libe,,,,1.3,,,,,0,1,recruit,,,KB,"CT,KB",4/18/2023 3:31:25 PM,13,LI,,,,,,,,,,,,,,,0,,5cc951de-77a1-404d-97d3-81cc923a44d1,4/18/2023 3:31:41 PM,shuej21,4/24/2023 5:38:29 PM,shuej21,libe,0,,,,,,,-78.1474903908398,38.8945475669769
50813,0122,10812,1,libe,,,,1.3,,,,,0,1,recruit,,,CT,"KB,CT",4/18/2023 3:42:06 PM,11,LI,M,M,"Stem 2 - dbh 10, white wire and tag, stem 3 dbh 10 blue wire and tag",,,,,,,,,,,,0,,77225534-5b78-4621-bb42-ae6dde9cc767,4/18/2023 3:33:48 PM,shuej21,4/24/2023 5:38:17 PM,shuej21,libe,0,,,,,,,-78.1474968308601,38.8945486213122
50814,0122,10813,1,libe,,,,1.3,,,,,0,1,recruit,,,KB,"CT,KB",4/18/2023 3:44:34 PM,12,LI,,,,,,,,,,,,,,,0,,1a1792f9-b8b0-43cf-ab86-854be62e8e71,4/18/2023 3:44:40 PM,shuej21,4/24/2023 5:38:23 PM,shuej21,libe,0,,,,,,,-78.1474910493043,38.8945537167984
50815,0122,10814,1,libe,,,,1.3,,,,,0,1,recruit,,,CT,"KB,CT",4/18/2023 3:48:36 PM,14,LI,,,,,,,,,,,,,,,0,,b9102d68-6f35-48d5-8bca-2343f6d71c98,4/18/2023 3:48:45 PM,shuej21,4/24/2023 5:38:12 PM,shuej21,libe,0,,,,,,,-78.147529609476,38.8945538615262
50816,0125,10816,1,libe,,,,1.3,,,,,,1,recruit,,,KB,"CT,KB",4/18/2023 6:16:11 PM,14,LI,,,,,,,,,,,,,,,0,,1c890bd7-3b8f-47e5-a3f7-dfdee48436fb,4/18/2023 6:16:15 PM,shuej21,4/24/2023 5:38:04 PM,shuej21,libe,0,,,,,,,-78.1474750790346,38.8949569029923
50817,0125,10815,1,astr,,,,1.3,,,,,0,1,recruit,,,CT,"KB,CT",4/18/2023 6:25:11 PM,19,LI,,,,,,,,,,,,,,,0,,80d4fb80-b50d-407c-b6c4-ef298fcee442,4/18/2023 6:25:42 PM,shuej21,4/24/2023 5:37:57 PM,shuej21,astr,0,,,,,,,-78.1474544707906,38.8949486802038
50818,0125,10832,1,astr,,,,1.3,,,,,,1,recruit,,,KB,"CT,KB",4/18/2023 6:28:00 PM,14,LI,,,,,,,,,,,,,,,0,,5973f758-8135-472e-9d05-3030a05f42b4,4/18/2023 6:28:02 PM,shuej21,4/24/2023 5:37:51 PM,shuej21,astr,0,,,,,,,-78.1474503951351,38.8949536036688
50819,0125,10833,1,elum,,,,1.3,,,,,0,1,recruit,,,CT,"KB,CT",4/18/2023 7:51:37 PM,15,LI,,,,,,,,,,,,,,,0,,e0a65a99-29a5-40c8-b79c-86c33f74b635,4/18/2023 7:51:41 PM,shuej21,4/24/2023 5:37:44 PM,shuej21,elum,0,,,,,,,-78.147626627464,38.8950694965744
50820,0125,10834,1,libe,,,,1.3,,,,,0,1,recruit,,,KB,"CT,KB",4/18/2023 8:24:07 PM,16,LI,M,M,"Stem 2 - 10mm dbh, white wire ",,,,,,,,,,,,0,,3bc50587-dc25-4c62-bd93-5c97617bf7b3,4/18/2023 8:22:48 PM,shuej21,4/24/2023 5:37:37 PM,shuej21,libe,0,,,,,,,-78.1476163749993,38.8949991866113
50821,0119,10826,1,libe,,,,,,,,,,1,recruit,,,RH,"IK,RH",4/18/2023 1:42:06 PM,27,LI,M,M,,,,,,,,,,,,,0,,542998ad-eb66-4f5c-b0ba-695e4472744f,4/18/2023 1:42:25 PM,shuej21,4/24/2023 5:37:31 PM,shuej21,libe,0,,,,,,,-78.1475319918407,38.8940275185031
50822,0125,10835,1,libe,,,,1.3,,,,,0,1,recruit,,,CT,"KB,CT",4/18/2023 8:28:23 PM,19,LI,,,,,,,,,,,,,,,0,,d832cfc1-701c-4038-bd53-52fd37066540,4/18/2023 8:28:26 PM,shuej21,4/24/2023 5:37:24 PM,shuej21,libe,0,,,,,,,-78.1475663981426,38.8949927166126
50823,0125,10836,1,libe,,,,1.3,,,,,0,1,recruit,,,KB,"CT,KB",4/18/2023 8:30:25 PM,17,LI,,,,,,,,,,,,,,,0,,bc04a55c-3745-4767-ba45-e2753716e0b7,4/18/2023 8:30:30 PM,shuej21,4/24/2023 5:37:17 PM,shuej21,libe,0,,,,,,,-78.1475370394111,38.8950005268916
50824,0119,10825,1,astr,,,,,,,,,,1,recruit,,,IK,"RH,IK",4/18/2023 2:52:02 PM,21,LI,,,,,,,,,,,,,,,0,,2f15e43a-b076-453a-b02f-c79c3c8a783c,4/18/2023 2:52:04 PM,shuej21,4/24/2023 5:37:11 PM,shuej21,astr,0,,,,,,,-78.1474764427375,38.8939992931519
50825,0123,10770,1,libe,,,,1.3,,,,,0,1,recruit,,,IK,"RH,IK",4/18/2023 6:05:08 PM,13,LI,,,,,,,,,,,,,,,0,,2c63fe18-814e-4f48-8962-7fd8506b6a0e,4/18/2023 6:04:39 PM,shuej21,4/24/2023 5:36:58 PM,shuej21,libe,0,,,,,,,-78.1475767135172,38.8946244753674
50826,0123,10865,1,libe,,,,1.3,,,,,0,1,recruit,,,IK,"RH,IK",4/18/2023 6:39:36 PM,10,LI,,,,,,,,,,,,,,,0,,52a122fc-d53a-4bcc-b752-d85d6b6e9037,4/18/2023 6:39:40 PM,shuej21,4/24/2023 5:36:51 PM,shuej21,libe,0,,,,,,,-78.1476602496239,38.8946614567523
50827,0123,10800,1,libe,,,,1.3,,,,,0,1,recruit,,,IK,"RH,IK",4/18/2023 6:42:17 PM,20,LI,,,,,,,,,,,,,,,0,,6f046b08-f723-4e23-874b-f94a1b028e98,4/18/2023 6:42:20 PM,shuej21,4/24/2023 5:36:43 PM,shuej21,libe,0,,,,,,,-78.1476485508676,38.8946609708355
50828,0123,10817,1,astr,,,,,,,,,0,1,recruit,,,RH,"IK,RH",4/18/2023 8:05:00 PM,12,LI,,,,,,,,,,,,,,,0,,853dd36f-e3ad-431f-a2d4-1d32edad4f4f,4/18/2023 8:05:06 PM,shuej21,4/24/2023 5:36:35 PM,shuej21,astr,0,,,,,,,-78.1475240695643,38.894601835149
50829,0123,10818,1,astr,,,,,,,,,,1,recruit,,,RH,"IK,RH",4/18/2023 8:07:16 PM,22,LI,M,M,,,,,,,,,,,,,0,,77170326-30d4-42a3-82c4-5fad7e0036d9,4/18/2023 8:07:22 PM,shuej21,4/24/2023 5:36:28 PM,shuej21,astr,0,,,,,,,-78.1475241540061,38.8945988916826
50830,0123,10868,1,havi,,,,,,,,,0,1,recruit,,,IK,IK,4/20/2023 2:08:00 PM,47,LI,"M,P",P,Under bigger log,,,,,,,,,,,,,,b54caed6-538c-42d7-8c08-f475fd77d960,4/20/2023 2:08:18 PM,shuej21,4/20/2023 2:08:18 PM,shuej21,havi,,,,10868,,,,-78.1475169728733,38.894640739932
50831,0127,10837,1,libe,,,,1.3,,,,,0,1,recruit,,,KB,"IK,KB",4/20/2023 3:11:00 PM,12,LI,,,,,,,,,,,,,,,,,b49f52da-244f-4573-b736-6c32a01a8fe1,4/20/2023 3:11:07 PM,shuej21,4/20/2023 3:11:07 PM,shuej21,libe,,,,10837,,,,-78.1476357974486,38.8953060185717
50832,0127,10838,1,libe,,,,1.3,,,,,0,1,recruit,,,KB,"IK,KB",4/20/2023 3:37:06 PM,13,LI,,,,,,,,,,,,,,,,,d5c6b96d-b108-4269-b778-13266fd891e5,4/20/2023 3:37:10 PM,shuej21,4/20/2023 3:37:10 PM,shuej21,libe,,,,10838,,,,-78.1475791694669,38.8953114272224
50833,0127,10839,1,libe,,,,1.3,,,,,0,1,recruit,,,KB,"IK,KB",4/20/2023 3:43:31 PM,15,LI,,,,,,,,,,,,,,,,,30b23623-a270-462d-a8a6-19c257b36d15,4/20/2023 3:43:45 PM,shuej21,4/20/2023 3:43:45 PM,shuej21,libe,,,,10839,,,,-78.1475668095508,38.895310330949
50834,0124,10873,1,astr,,,,1.3,,,,,0,1,recruit,,,DM,DM,6/28/2023 2:24:15 PM,15,LI,,,,,,,,,,,,,,,,,9ecc74e2-b759-485e-920b-72a9a0b76fa5,4/20/2023 2:12:51 PM,shuej21,6/28/2023 2:24:22 PM,shuej21,astr,,,,10873,,,,-78.1474492273265,38.8949394939763
50835,0124,10874,1,astr,,,,1.3,,,,,0,1,recruit,,,DM,DM,6/28/2023 2:24:31 PM,10,LI,,,,,,,,,,,,,,,,,3fb2f8c4-5503-410f-a245-f6debbecf7ed,4/20/2023 2:21:54 PM,shuej21,6/28/2023 2:24:37 PM,shuej21,astr,,,,10874,,,,-78.1474536515279,38.894939500968
50836,0124,10875,1,astr,,,,1.3,,,,,0,1,recruit,,,DM,DM,6/28/2023 2:24:42 PM,11,LI,,,,,,,,,,,,,,,,,78b8e077-e104-4356-a66f-f2b7bea4f351,4/20/2023 2:25:22 PM,shuej21,6/28/2023 2:24:49 PM,shuej21,astr,,,,10875,,,,-78.1474565557805,38.8949360576182
50837,0124,10876,1,libe,,,,1.3,,,,,0,1,recruit,,,DM,DM,6/28/2023 2:24:01 PM,16,LI,,,,,,,,,,,,,,,,,f8d33ead-35b9-47b3-ba50-0ae69cde292a,4/20/2023 2:30:18 PM,shuej21,6/28/2023 2:24:08 PM,shuej21,libe,,,,10876,,,,-78.1474765208319,38.8949302028751
50838,0126,10877,1,libe,,,,1.3,,,,,0,1,recruit,,,DM,DM,5/24/2023 1:52:35 PM,10,LI,,,,,,,,,,,,,,,,,86787ae9-0fcc-4d7f-8176-aa45dac235e6,4/20/2023 3:32:08 PM,shuej21,5/24/2023 1:53:09 PM,shuej21,libe,,,,10877,,,,-78.1476255108535,38.8951466910499
50839,0127,10840,1,libe,,,,1.3,,,,,0,1,recruit,,,KB,KB,4/25/2023 5:49:39 PM,16,LI,,,,,,,,,,,,,,,,,ecd13cba-1be3-45da-b7d6-f51e1efee74d,4/25/2023 1:48:44 PM,shuej21,4/25/2023 5:49:48 PM,shuej21,libe,,,,10840,,,,-78.1475269306526,38.8953125025187
50840,0127,10841,1,libe,,,,1.3,,,,,0,1,recruit,,,KB,KB,4/25/2023 2:15:29 PM,16,LI,,,,,,,,,,,,,,,,,c0622da1-d3cd-4f91-bfb1-483a5556e68f,4/25/2023 2:14:33 PM,shuej21,4/25/2023 2:15:36 PM,shuej21,libe,,,,10841,,,,-78.1475570673211,38.8953648900833
