censusType,errorID,errorType,errorName,referenceTable,referenceTableFilter,referenceTableSelect,currentTable,currentTableFilter,currentTableSelect,idxError,errorDescription,errorMessage
mortality,11,error,missingPercentCrownLiving,stem,1:nrow(referenceTable),"paste(tag, StemTag)",stem,"mortality %in% 1 & is.na(crown_living) & mort_status %in% c('A', 'AU')","paste(tag, StemTag)",reference %in% current,"Check that percent crown living was recorded if status is A, AU",Some percent crown living are missing
mortality,12,error,DeadButCrownLivingNotZero,stem,1:nrow(referenceTable),"paste(tag, StemTag)",stem,"mortality %in% 1 & !is.na(crown_living) & crown_living > 0 & !mort_status %in% c('A', 'AU')","paste(tag, StemTag)",reference %in% current,Check that percent crown living is 0 if tree is dead,Some crown living are not zero for dead stems
mortality,13,error,CrownLivingGreaterThanCrownIntact,stem,1:nrow(referenceTable),"paste(tag, StemTag)",stem,"mortality %in% 1 & !is.na(crown_living) &  !is.na(crown_intact) & crown_living <= crown_intact & mort_status %in% c('A', 'AU', 'DS')","paste(tag, StemTag)",reference %in% current,Check that percent crown living is smaller than percent crown intact,Some percent crown living are larger than percent crown intact
mortality,14,error,statusAbutUnhealthy,stem,1:nrow(referenceTable),"paste(tag, StemTag)",stem,mortality %in% 1 & mort_status %in% c('A') & (!is.na(fad) | !is.na(wounded_main_stem) | !is.na(rotting_trunk) | !is.na(canker_swelling_deformity)),"paste(tag, StemTag)",reference %in% current,Check that status is AU when obvious signs of health issues,Some trees are A while they have obvious signs of unhealthyness
mortality,15,error,AlivebutDWRselected,stem,1:nrow(referenceTable),"paste(tag, StemTag)",stem,"mortality %in% 1 & mort_status %in% c('A', 'AU') & dead_with_resprout %in% TRUE","paste(tag, StemTag)",reference %in% current,"Check that if status is A or AU, dead with resprout is not TRUE","Some A or AU are ""Dead with resprout"""
mortality,16,error,missingFad,stem,1:nrow(referenceTable),"paste(tag, StemTag)",stem,"mortality %in% 1 & mort_status %in% c('AU','DS', 'DC') & (is.na(fad) & is.na(wounded_main_stem) & !is.na(rotting_trunk) & is.na(canker_swelling_deformity))","paste(tag, StemTag)",reference %in% current,"Check that if status is  AU, DS or DC, there is a fad justifying it",Some FAD are missing
mortality,17,error,missingWoundLevel,stem,1:nrow(referenceTable),"paste(tag, StemTag)",stem,"mortality %in% 1 & grepl('W', fad) & is.na(wounded_main_stem)","paste(tag, StemTag)",reference %in% current,Check that there is a wound level when W in FAD,Some wound level are missing
mortality,18,error,missingWinFad,stem,1:nrow(referenceTable),"paste(tag, StemTag)",stem,"mortality %in% 1 & !grepl('W', fad) & !is.na(wounded_main_stem)","paste(tag, StemTag)",reference %in% current,Check that there is a W in FAD if a there is wound level ,Some trees with a wound level don't have a W in FAD
mortality,19,error,missingCankerLevel,stem,1:nrow(referenceTable),"paste(tag, StemTag)",stem,"mortality %in% 1 & grepl('K', fad) & is.na(canker_swelling_deformity)","paste(tag, StemTag)",reference %in% current,Check that there is a canker_swelling_deformity level when K in FAD,Some canker level are missing
mortality,20,error,missingKinFad,stem,1:nrow(referenceTable),"paste(tag, StemTag)",stem,"mortality %in% 1 & !grepl('K', fad) & !is.na(canker_swelling_deformity)","paste(tag, StemTag)",reference %in% current,Check that there is a K in FAD if a there is canker_swelling_deformity  level,Some trees with a canker level don't have a K in FAD
mortality,21,error,missingRotLevel,stem,1:nrow(referenceTable),"paste(tag, StemTag)",stem,"mortality %in% 1 & grepl('\\<R\\>', fad) & is.na(rotting_trunk)","paste(tag, StemTag)",reference %in% current,Check that there is a rot level when R in FAD,Some rot level are missing
mortality,22,error,missingRinFad,stem,1:nrow(referenceTable),"paste(tag, StemTag)",stem,"mortality %in% 1 & !grepl('\\<R\\>', fad) & !is.na(rotting_trunk)","paste(tag, StemTag)",reference %in% current,Check that there is a R in FAD if a there is rot level ,Some trees with a rot level don't have a R in FAD
