censusType,errorName,tag,table,quadrat,StemTag,lx,ly,dbh_previous,hom,codes_previous,status_previous,status_2022,comment_2022,mortality,census_status,dbh_current,status_current,codes_current,notes_current,crown_position,crown_intact,crown_living,fad,liana_load,lean_angle,wounded_main_stem,rotting_trunk,canker_swelling_deformity,dead_with_resprout,sp,NAD83_X,NAD83_Y,personnel,date_measured,x,y,dbh_if_dead,mort_status
both,quadratIsNA,22235,old_trees,,3,,,,1.3,"","","","",,1,10,LI,"","",,,,"",0,,,,,0,libe,747410.674057427,4308957.0427988,DM,5/16/2023 2:23:10 PM,-78.1472687459775,38.8946684728079,,""
both,quadratIsNA,22307,old_trees,,3,,,,1.3,"","","","",,1,20,LI,"","",,,,"",0,,,,,0,libe,747394.424467773,4308993.47564536,DM,6/7/2023 1:57:40 PM,-78.1474427657428,38.8950009561702,,""
both,quadratIsNA,22332,old_trees,,4,,,,,"","","","",,1,21,LI,"","",,,,"",0,,,,,0,caca,747399.102972078,4309007.38791769,"EM,DM",6/7/2023 7:08:51 PM,-78.1473838695082,38.8951248536212,,""
both,quadratIsNA,23274,old_trees,,2,,,,,"","","","",,1,14,LI,"","",,,,"",0,,,,,0,astr,747419.512136796,4308744.2905859,"DM,EM",6/30/2023 3:56:18 PM,-78.1472436229231,38.892751144688,,""
both,quadratIsNA,32592,old_trees,,4,,,,1.3,"","","","",,1,12,LI,"","",,,,"",0,,,,,0,libe,747432.131296534,4308730.67967823,RH,5/8/2023 5:34:28 PM,-78.1471031956344,38.8926250889145,,""
both,quadratIsNA,43508,old_trees,,2,,,,1.3,"","","","",,1,16,LI,"","",,,,"",0,,,,,0,libe,747455.342963532,4308717.51462923,IK,5/3/2023 7:51:25 PM,-78.1468406172677,38.8925000614082,,""
both,quadratIsNA,70408,old_trees,,3,,,,1.3,"","","","",,1,10,LI,"","",,,,"",0,,,,,0,caca,747508.326538047,4308675.73255543,"EM,DM",6/16/2023 5:43:53 PM,-78.1462454836009,38.8921090864974,,""
both,quadratIsNA,70441,old_trees,,2,,,,1.3,"","","","",,1,12,LI,"","",,,,"",0,,,,,0,caca,747512.317910586,4308710.63455596,"DM,EM",7/12/2023 2:02:43 PM,-78.1461869359006,38.8924220914345,,""
both,quadratIsNA,70448,old_trees,,2,,,,1.3,"","","","",,1,14,LI,"","",,,,"",0,,,,,0,caca,747501.039943561,4308718.17494453,DM,6/9/2023 3:24:03 PM,-78.1463141022667,38.8924931331997,,""
both,quadratIsNA,70488,old_trees,,2,,,,,"","","","",,1,11,LI,"","",,,,"",0,,,,,0,ceca,747500.040270442,4308765.56449724,"EM,DM",6/16/2023 7:24:12 PM,-78.1463085335849,38.8929199367163,,""
both,quadratIsNA,70521,old_trees,,3,,,,1.3,"","","","",,1,15,LI,M,"",,,,"",0,,,,,0,caca,747520.116017429,4308715.11667283,DM,6/9/2023 7:49:50 PM,-78.146095511685,38.8924602353003,,""
both,quadratIsNA,70521,old_trees,,4,,,,1.3,"","","","",,1,10,LI,"","",,,,"",0,,,,,0,caca,747520.116017429,4308715.11667283,DM,6/9/2023 7:49:50 PM,-78.146095511685,38.8924602353003,,""
both,quadratIsNA,70529,old_trees,,5,,,,1.3,"","","","",,1,11,LI,L,"",,,,"",0,,,,,0,caca,747519.676922414,4308721.10809867,DM,6/9/2023 7:34:22 PM,-78.1460984087475,38.8925142834256,,""
both,quadratIsNA,70530,old_trees,,2,,,,1.3,"","","","",,1,12,LI,"","",,,,"",0,,,,,0,caca,747518.851608276,4308722.18925295,DM,6/9/2023 7:17:16 PM,-78.1461075239492,38.8925242467572,,""
both,quadratIsNA,70547,old_trees,,3,,,,1.3,"","","","",,1,11,LI,"","",,,,"",0,,,,,0,caca,747511.779687246,4308733.82830192,DM,6/12/2023 2:59:36 PM,-78.1461847736431,38.8926309934547,,""
both,quadratIsNA,70554,old_trees,,4,,,,1.3,"","","","",,1,27,LI,"","",,,,"",0,,,,,0,caca,747518.640701085,4308735.58795618,DM,6/12/2023 3:39:21 PM,-78.1461051227456,38.8926448987429,,""
both,quadratIsNA,70554,old_trees,,5,,,,1.3,"","","","",,1,13,LI,"","",,,,"",0,,,,,0,caca,747518.640701085,4308735.58795618,DM,6/12/2023 3:39:21 PM,-78.1461051227456,38.8926448987429,,""
both,quadratIsNA,70554,old_trees,,6,,,,1.3,"","","","",,1,11,LI,"","",,,,"",0,,,,,0,caca,747518.640701085,4308735.58795618,DM,6/12/2023 3:39:21 PM,-78.1461051227456,38.8926448987429,,""
both,quadratIsNA,70609,old_trees,,8,,,,,"","","","",,1,23,LI,"","",,,,"",0,,,,,0,havi,747516.023979347,4308805.24600784,"EM,CT",6/22/2023 3:21:18 PM,-78.1461101487783,38.893272580537,,""
both,quadratIsNA,73234,old_trees,,2,,,,1.3,"","","","",,1,11,LI,"","",,,,"",0,,,,,0,caca,747514.755464172,4308730.59647802,DM,6/12/2023 2:44:22 PM,-78.1461516671438,38.8926010685412,,""
both,quadratIsNA,73243,old_trees,,2,,,,1.3,"","","","",,1,14,LI,"","",,,,"",0,,,,,0,caca,747513.430078701,4308727.36486026,DM,6/9/2023 6:28:08 PM,-78.1461680964287,38.8925723559962,,""
both,quadratIsNA,73439,old_trees,,2,,,,,"","","","",,1,12,LI,"","",,,,"",0,,,,,0,libe,747515.947215782,4308804.24394728,"CT,EM",12/11/2023 7:46:05 PM,-78.1461113947418,38.8932635828698,,""
both,quadratIsNA,83642,old_trees,,2,,,,1.3,"","","","",,1,11,LI,"","",,,,"",0,,,,,0,caca,747530.176680019,4308772.96564254,"EM,RH",5/31/2023 6:36:34 PM,-78.1459587917015,38.8929780592797,,""
both,quadratIsNA,83644,old_trees,,2,,,,1.3,"","","","",,1,11,LI,"","",,,,"",0,,,,,0,caca,747528.49823305,4308776.3276086,"RH,EM",5/31/2023 6:34:06 PM,-78.1459769107133,38.8930087908832,,""
both,quadratIsNA,131169,old_trees,,,,,,1.3,"","","","",,1,16,LI,"","",,,,"",0,,,,,0,cagl,747621.608792084,4308746.77975513,RH,6/26/2023 3:31:01 PM,-78.1449152353451,38.8927166156415,,""
both,quadratIsNA,131305,old_trees,,,,,,1.3,"","","","",,1,24,LI,"","",,,,"",0,,,,,0,havi,747625.877091187,4308786.98958872,RH,7/6/2023 5:45:08 PM,-78.1448515771277,38.8930773128833,,""
both,quadratIsNA,133742,old_trees,,,,,,1.3,"","","","",,1,11,LI,"","",,,,"",0,,,,,0,astr,747621.871582478,4308748.38628407,RH,6/26/2023 3:34:00 PM,-78.1449116286095,38.8927310005527,,""
both,quadratIsNA,142137,old_trees,,2,,,,1.3,"","","","",,1,14,LI,"","",,,,"",0,,,,,0,astr,747642.350362892,4308852.98953017,IK,7/6/2023 6:56:59 PM,-78.1446380547999,38.8936666896343,,""
both,quadratIsNA,161083,old_trees,,3,,,,1.3,"","","","",,1,14,LI,"","",,,,"",0,,,,,0,libe,747688.377762406,4308951.48384198,CT,12/11/2023 5:08:25 PM,-78.1440724324976,38.8945401934905,,""
both,quadratIsNA,161083,old_trees,,4,,,,1.3,"","","","",,1,12,LI,"","",,,,"",0,,,,,0,libe,747688.377762406,4308951.48384198,CT,12/11/2023 5:08:25 PM,-78.1440724324976,38.8945401934905,,""
both,quadratIsNA,161096,old_trees,,2,,,,1.3,"","","","",,1,11,LI,"","",,,,"",0,,,,,0,astr,747690.078341921,4309110.96621728,CT,7/12/2023 3:36:26 PM,-78.1439953120634,38.8959751032833,,""
both,quadratIsNA,161097,old_trees,,2,,,,1.3,"","","","",,1,12,LI,"","",,,,"",0,,,,,0,libe,747692.570378133,4309012.19744814,CT,7/12/2023 1:54:30 PM,-78.1439894523888,38.8954361461985,,""
both,quadratIsNA,161097,old_trees,,3,,,,1.3,"","","","",,1,10,LI,"","",,,,"",0,,,,,0,libe,747692.570378133,4309012.19744814,CT,7/12/2023 1:54:30 PM,-78.1439894523888,38.8954361461985,,""
both,quadratIsNA,161098,old_trees,,2,,,,1.3,"","","","",,1,17,LI,"","",,,,"",0,,,,,0,vipr,747682.417202014,4309010.06132673,CT,12/11/2023 5:11:25 PM,-78.144119271484,38.8954291714585,,""
both,quadratIsNA,161100,old_trees,,2,,,,1.3,"","","","",,1,12,LI,"","",,,,"",0,,,,,0,astr,747677.914205546,4309018.75920135,CT,7/11/2023 5:20:02 PM,-78.144141273056,38.8947842332109,,""
both,quadratIsNA,161100,old_trees,,3,,,,1.3,"","","","",,1,10,LI,"","",,,,"",0,,,,,0,astr,747677.914205546,4309018.75920135,CT,7/11/2023 5:20:02 PM,-78.144141273056,38.8947842332109,,""
both,quadratIsNA,162585,old_trees,,2,,,,1.3,"","","","",,1,17,LI,"","",,,,"",0,,,,,0,fram,747678.891452782,4309080.09839161,CT,7/12/2023 3:02:17 PM,-78.1441352884234,38.8957004379157,,""
both,quadratIsNA,162631,old_trees,,2,,,,1.3,"","","","",,1,10,LI,"","",,,,"",0,,,,,0,fram,747688.359307995,4309047.10915043,CT,7/12/2023 1:46:00 PM,-78.1440381482509,38.8954008557735,,""
both,quadratIsNA,163510,old_trees,,2,,,,1.3,"","","","",,1,10,LI,"","",,,,"",0,,,,,0,astr,747679.251575643,4308982.68050717,CT,7/11/2023 5:28:00 PM,-78.1441662848382,38.8948235462039,,""
both,quadratIsNA,163773,old_trees,,2,,,,1.3,"","","","",,1,10,LI,"","",,,,"",0,,,,,0,astr,747678.04897757,4309017.26192499,CT,7/11/2023 5:21:48 PM,-78.144138031038,38.894771114193,,""
both,quadratIsNA,170030,old_trees,,2,,,,,"","","","",,1,17,LI,"","",,,,"",0,,,,,0,libe,747707.013791409,4308519.09981291,EM,8/1/2023 7:21:15 PM,-78.1440137817577,38.8906433526092,,""
both,quadratIsNA,170045,old_trees,,6,,,,,"","","","",,1,15,LI,M,"",,,,"",0,,,,,0,libe,747706.163174412,4308525.58182377,EM,8/1/2023 3:17:29 PM,-78.1440212395651,38.890701932228,,""
both,quadratIsNA,170045,old_trees,,7,,,,,"","","","",,1,12,LI,"","",,,,"",0,,,,,0,libe,747706.163174412,4308525.58182377,EM,8/1/2023 3:17:29 PM,-78.1440212395651,38.890701932228,,""
both,quadratIsNA,170045,old_trees,,8,,,,,"","","","",,1,12,LI,"","",,,,"",0,,,,,0,libe,747706.163174412,4308525.58182377,EM,8/1/2023 3:17:29 PM,-78.1440212395651,38.890701932228,,""
both,quadratIsNA,170045,old_trees,,9,,,,,"","","","",,1,10,LI,"","",,,,"",0,,,,,0,libe,747706.163174412,4308525.58182377,EM,8/1/2023 3:17:29 PM,-78.1440212395651,38.890701932228,,""
both,quadratIsNA,170045,old_trees,,10,,,,,"","","","",,1,13,LI,"","",,,,"",0,,,,,0,libe,747706.163174412,4308525.58182377,EM,8/1/2023 3:17:29 PM,-78.1440212395651,38.890701932228,,""
both,quadratIsNA,170050,old_trees,,2,,,,,"","","","",,1,18,LI,"","",,,,"",0,,,,,0,libe,747706.832836932,4308526.89771362,EM,8/1/2023 3:06:56 PM,-78.144013054118,38.8907135871754,,""
both,quadratIsNA,170057,old_trees,,5,,,,,"","","","",,1,21,LI,"","",,,,"",0,,,,,0,libe,747713.867629561,4308516.8582138,EM,7/28/2023 1:50:28 PM,-78.1439356597946,38.8906212453094,,""
both,quadratIsNA,170080,old_trees,,3,,,,,"","","","",,1,27,LI,"","",,,,"",0,,,,,0,libe,747711.205907368,4308523.79833159,EM,7/28/2023 12:24:23 PM,-78.1439638093896,38.8906844592397,,""
both,quadratIsNA,170083,old_trees,,2,,,,,"","","","",,1,21,LI,"","",,,,"",0,,,,,0,libe,747709.041288416,4308522.24769663,EM,7/28/2023 12:40:58 PM,-78.1439892972821,38.890671112925,,""
both,quadratIsNA,170083,old_trees,,3,,,,,"","","","",,1,16,LI,"","",,,,"",0,,,,,0,libe,747709.041288416,4308522.24769663,EM,7/28/2023 12:40:58 PM,-78.1439892972821,38.890671112925,,""
both,quadratIsNA,170097,old_trees,,3,,,,,"","","","",,1,12,LI,"","",,,,"",0,,,,,0,libe,747710.131938773,4308526.97427105,EM,7/26/2023 7:51:08 PM,-78.1439750329354,38.8907133466495,,""
both,quadratIsNA,170104,old_trees,,2,,,,,"","","","",,1,11,LI,"","",,,,"",0,,,,,0,libe,747713.698500859,4308528.45741194,EM,7/27/2023 3:23:29 PM,-78.1439334229836,38.8907256896054,,""
both,quadratIsNA,170115,old_trees,,9,,,,,"","","","",,1,18,LI,"","",,,,"",0,,,,,0,libe,747713.521517853,4308523.15187813,EM,7/28/2023 12:18:10 PM,-78.1439373755726,38.8906779881497,,""
both,quadratIsNA,170115,old_trees,,10,,,,,"","","","",,1,14,LI,"","",,,,"",0,,,,,0,libe,747713.521517853,4308523.15187813,EM,7/28/2023 12:18:10 PM,-78.1439373755726,38.8906779881497,,""
both,quadratIsNA,170129,old_trees,,2,,,,,"","","","",,1,22,LI,"","",,,,"",0,,,,,0,libe,747715.904652408,4308523.9073685,EM,7/31/2023 7:03:50 PM,-78.1439096571644,38.8906841159308,,""
both,quadratIsNA,170149,old_trees,,3,,,,,"","","","",,1,17,LI,"","",,,,"",0,,,,,0,libe,747709.28112564,4308529.15511974,EM,7/26/2023 7:56:00 PM,-78.143984043932,38.8907332143844,,""
both,quadratIsNA,170149,old_trees,,4,,,,,"","","","",,1,15,LI,"","",,,,"",0,,,,,0,libe,747709.28112564,4308529.15511974,EM,7/26/2023 7:56:00 PM,-78.143984043932,38.8907332143844,,""
both,quadratIsNA,170162,old_trees,,3,,,,,"","","","",,1,14,LI,"","",,,,"",0,,,,,0,libe,747705.915168117,4308540.58010683,EM,7/26/2023 2:54:37 PM,-78.144018685647,38.8908369914825,,""
both,quadratIsNA,170166,old_trees,,2,,,,,"","","","",,1,10,LI,"","",,,,"",0,,,,,0,libe,747705.973382477,4308542.38194231,EM,7/26/2023 2:33:35 PM,-78.1440173660212,38.8908531918914,,""
both,quadratIsNA,170169,old_trees,,3,,,,,"","","","",,1,18,LI,"","",,,,"",0,,,,,0,libe,747706.071015639,4308542.48423486,EM,7/26/2023 2:36:44 PM,-78.1440162044999,38.8908540854658,,""
both,quadratIsNA,170169,old_trees,,4,,,,,"","","","",,1,12,LI,"","",,,,"",0,,,,,0,libe,747706.071015639,4308542.48423486,EM,7/26/2023 2:36:44 PM,-78.1440162044999,38.8908540854658,,""
both,quadratIsNA,170189,old_trees,,3,,,,,"","","","",,1,18,LI,"","",,,,"",0,,,,,0,libe,747709.472224357,4308538.1619772,EM,7/26/2023 3:33:37 PM,-78.1439785938497,38.8908142256,,""
both,quadratIsNA,170189,old_trees,,4,,,,,"","","","",,1,17,LI,"","",,,,"",0,,,,,0,libe,747709.472224357,4308538.1619772,EM,7/26/2023 3:33:37 PM,-78.1439785938497,38.8908142256,,""
both,quadratIsNA,170189,old_trees,,5,,,,,"","","","",,1,14,LI,"","",,,,"",0,,,,,0,libe,747709.472224357,4308538.1619772,EM,7/26/2023 3:33:37 PM,-78.1439785938497,38.8908142256,,""
both,quadratIsNA,170189,old_trees,,6,,,,,"","","","",,1,13,LI,"","",,,,"",0,,,,,0,libe,747709.472224357,4308538.1619772,EM,7/26/2023 3:33:37 PM,-78.1439785938497,38.8908142256,,""
both,quadratIsNA,170198,old_trees,,3,,,,,"","","","",,1,22,LI,"","",,,,"",0,,,,,0,libe,747710.62780274,4308540.08930452,EM,7/26/2023 3:19:55 PM,-78.1439645909143,38.8908312461726,,""
both,quadratIsNA,170244,old_trees,,3,,,,,"","","","",,1,16,LI,"","",,,,"",0,,,,,0,libe,747721.316666372,4308514.83048044,EM,7/31/2023 6:01:44 PM,-78.1438506046361,38.8906008957915,,""
both,quadratIsNA,170254,old_trees,,4,,,,,"","","","",,1,14,LI,"","",,,,"",0,,,,,0,libe,747724.92753324,4308518.71529555,EM,7/31/2023 3:20:28 PM,-78.1438076202609,38.890634841943,,""
both,quadratIsNA,170254,old_trees,,5,,,,,"","","","",,1,12,LI,"","",,,,"",0,,,,,0,libe,747724.92753324,4308518.71529555,EM,7/31/2023 3:20:28 PM,-78.1438076202609,38.890634841943,,""
both,quadratIsNA,170256,old_trees,,4,,,,,"","","","",,1,10,LI,"","",,,,"",0,,,,,0,libe,747724.025455537,4308518.79438927,EM,7/31/2023 3:12:14 PM,-78.1438179796295,38.8906358082374,,""
both,quadratIsNA,170265,old_trees,,3,,,,,"","","","",,1,20,LI,"","",,,,"",0,,,,,0,libe,747722.232879781,4308518.45271082,EM,7/31/2023 3:28:04 PM,-78.143838746876,38.8906332379801,,""
both,quadratIsNA,170265,old_trees,,4,,,,,"","","","",,1,15,LI,"","",,,,"",0,,,,,0,libe,747722.232879781,4308518.45271082,EM,7/31/2023 3:28:04 PM,-78.143838746876,38.8906332379801,,""
both,quadratIsNA,170265,old_trees,,5,,,,,"","","","",,1,11,LI,"","",,,,"",0,,,,,0,libe,747722.232879781,4308518.45271082,EM,7/31/2023 3:28:04 PM,-78.143838746876,38.8906332379801,,""
both,quadratIsNA,170280,old_trees,,4,,,,,"","","","",,1,14,LI,"","",,,,"",0,,,,,0,libe,747720.912370295,4308519.32230998,EM,7/31/2023 3:36:08 PM,-78.1438536409383,38.8906414374952,,""
both,quadratIsNA,170280,old_trees,,5,,,,,"","","","",,1,12,LI,"","",,,,"",0,,,,,0,libe,747720.912370295,4308519.32230998,EM,7/31/2023 3:36:08 PM,-78.1438536409383,38.8906414374952,,""
both,quadratIsNA,170282,old_trees,,5,,,,,"","","","",,1,10,LI,"","",,,,"",0,,,,,0,libe,747720.617070901,4308519.11540356,EM,7/28/2023 3:53:00 PM,-78.1438571156208,38.8906396580323,,""
both,quadratIsNA,170297,old_trees,,3,,,,,"","","","",,1,12,LI,"","",,,,"",0,,,,,0,libe,747715.927635569,4308518.60647501,EM,7/28/2023 2:39:44 PM,-78.1439113055754,38.890636399764,,""
both,quadratIsNA,170306,old_trees,,,,,,,"","","","",,1,14,LI,"","",,,,"",0,,,,,0,libe,747720.668993861,4308534.12064664,EM,7/27/2023 11:48:34 AM,-78.1438511058849,38.8907746950308,,""
both,quadratIsNA,170324,old_trees,,2,,,,,"","","","",,1,14,LI,"","",,,,"",0,,,,,0,libe,747716.386154541,4308529.01991499,EM,7/27/2023 2:12:45 PM,-78.1439022676223,38.890729994571,,""
both,quadratIsNA,170326,old_trees,,5,,,,,"","","","",,1,21,DN,"","",,,,"",0,,,,,0,libe,747714.78428523,4308529.08276968,EM,7/27/2023 3:08:48 PM,-78.1439206929613,38.8907310119059,,""
both,quadratIsNA,170326,old_trees,,6,,,,,"","","","",,1,11,LI,"","",,,,"",0,,,,,0,libe,747714.78428523,4308529.08276968,EM,7/27/2023 3:08:48 PM,-78.1439206929613,38.8907310119059,,""
both,quadratIsNA,170326,old_trees,,7,,,,,"","","","",,1,12,LI,"","",,,,"",0,,,,,0,libe,747714.78428523,4308529.08276968,EM,7/27/2023 3:08:48 PM,-78.1439206929613,38.8907310119059,,""
both,quadratIsNA,170332,old_trees,,12,,,,,"","","","",,1,21,LI,"","",,,,"",0,,,,,0,libe,747715.202953138,4308532.59342733,EM,7/27/2023 12:17:21 PM,-78.1439146050785,38.8907624905256,,""
both,quadratIsNA,170332,old_trees,,13,,,,,"","","","",,1,14,LI,"","",,,,"",0,,,,,0,libe,747715.202953138,4308532.59342733,EM,7/27/2023 12:17:21 PM,-78.1439146050785,38.8907624905256,,""
both,quadratIsNA,170332,old_trees,,14,,,,,"","","","",,1,12,LI,"","",,,,"",0,,,,,0,libe,747715.202953138,4308532.59342733,EM,7/27/2023 12:17:21 PM,-78.1439146050785,38.8907624905256,,""
both,quadratIsNA,170413,old_trees,,3,,,,,"","","","",,1,14,LI,"","",,,,"",0,,,,,0,libe,747718.143479102,4308522.25886401,EM,7/31/2023 2:01:07 PM,-78.1438844693109,38.8906686482432,,""
both,quadratIsNA,170413,old_trees,,11,,,,,"","","","",,1,11,LI,"","",,,,"",0,,,,,0,libe,747718.143479102,4308522.25886401,EM,7/31/2023 2:01:07 PM,-78.1438844693109,38.8906686482432,,""
both,quadratIsNA,170434,old_trees,,4,,,,,"","","","",,1,12,LI,"","",,,,"",0,,,,,0,libe,747724.146504122,4308522.19811359,EM,7/31/2023 2:33:23 PM,-78.1438153583444,38.8906664087049,,""
both,quadratIsNA,170444,old_trees,,4,,,,,"","","","",,1,15,LI,"","",,,,"",0,,,,,0,libe,747719.192380731,4308528.78495422,EM,7/27/2023 1:48:15 PM,-78.1438700351817,38.8907270893989,,""
both,quadratIsNA,170468,old_trees,,2,,,,,"","","","",,1,13,LI,"","",,,,"",0,,,,,0,libe,747718.032122501,4308527.05757214,EM,7/27/2023 2:05:07 PM,-78.143884021049,38.8907118692386,,""
both,quadratIsNA,170468,old_trees,,3,,,,,"","","","",,1,10,LI,"","",,,,"",0,,,,,0,libe,747718.032122501,4308527.05757214,EM,7/27/2023 2:05:07 PM,-78.143884021049,38.8907118692386,,""
both,quadratIsNA,170474,old_trees,,2,,,,,"","","","",,1,18,LI,"","",,,,"",0,,,,,0,libe,747719.9503867,4308530.60302874,EM,7/27/2023 12:37:26 PM,-78.1438606504838,38.8907432380919,,""
both,quadratIsNA,170475,old_trees,,3,,,,,"","","","",,1,18,LI,"","",,,,"",0,,,,,0,libe,747720.538635567,4308531.11681397,EM,7/27/2023 12:40:32 PM,-78.1438536903388,38.8907476968811,,""
both,quadratIsNA,170478,old_trees,,6,,,,,"","","","",,1,27,LI,"","",,,,"",0,,,,,0,libe,747721.900913776,4308528.4476995,EM,7/27/2023 1:16:27 PM,-78.1438389651608,38.8907232899514,,""
both,quadratIsNA,170478,old_trees,,7,,,,,"","","","",,1,18,LI,"","",,,,"",0,,,,,0,libe,747721.900913776,4308528.4476995,EM,7/27/2023 1:16:27 PM,-78.1438389651608,38.8907232899514,,""
both,quadratIsNA,170505,old_trees,,4,,,,,"","","","",,1,12,LI,"","",,,,"",0,,,,,0,libe,747712.3273552,4308540.12874355,EM,7/25/2023 7:13:18 PM,-78.1439450031557,38.8908311210155,,""
both,quadratIsNA,170507,old_trees,,2,,,,,"","","","",,1,10,LI,"","",,,,"",0,,,,,0,libe,747711.911233349,4308540.81927567,EM,7/25/2023 7:20:27 PM,-78.1439495468325,38.8908374543487,,""
both,quadratIsNA,170515,old_trees,,2,,,,,"","","","",,1,12,LI,"","",,,,"",0,,,,,0,libe,747708.026398705,4308544.43012208,EM,7/26/2023 1:49:23 PM,-78.1439929839542,38.8908710479951,,""
both,quadratIsNA,170518,old_trees,,3,,,,,"","","","",,1,14,LI,"","",,,,"",0,,,,,0,libe,747710.753521175,4308543.29308337,EM,7/25/2023 7:46:09 PM,-78.1439619875956,38.8908600454233,,""
both,quadratIsNA,170518,old_trees,,4,,,,,"","","","",,1,14,LI,"","",,,,"",0,,,,,0,libe,747710.753521175,4308543.29308337,EM,7/25/2023 7:46:09 PM,-78.1439619875956,38.8908600454233,,""
both,quadratIsNA,170518,old_trees,,5,,,,,"","","","",,1,12,LI,"","",,,,"",0,,,,,0,libe,747710.753521175,4308543.29308337,EM,7/25/2023 7:46:09 PM,-78.1439619875956,38.8908600454233,,""
both,quadratIsNA,170524,old_trees,,7,,,,,"","","","",,1,18,LI,"","",,,,"",0,,,,,0,libe,747712.367020124,4308542.73036395,EM,7/25/2023 7:30:00 PM,-78.1439436089692,38.8908545259574,,""
both,quadratIsNA,170524,old_trees,,8,,,,,"","","","",,1,17,LI,"","",,,,"",0,,,,,0,libe,747712.367020124,4308542.73036395,EM,7/25/2023 7:30:00 PM,-78.1439436089692,38.8908545259574,,""
both,quadratIsNA,170524,old_trees,,9,,,,,"","","","",,1,12,LI,"","",,,,"",0,,,,,0,libe,747712.367020124,4308542.73036395,EM,7/25/2023 7:30:00 PM,-78.1439436089692,38.8908545259574,,""
both,quadratIsNA,170524,old_trees,,10,,,,,"","","","",,1,11,LI,"","",,,,"",0,,,,,0,libe,747712.367020124,4308542.73036395,EM,7/25/2023 7:30:00 PM,-78.1439436089692,38.8908545259574,,""
both,quadratIsNA,170530,old_trees,,5,,,,,"","","","",,1,14,LI,"","",,,,"",0,,,,,0,libe,747712.617788608,4308536.23443329,EM,7/25/2023 6:55:19 PM,-78.1439430636958,38.8907959898151,,""
both,quadratIsNA,170537,old_trees,,3,,,,,"","","","",,1,17,LI,"","",,,,"",0,,,,,0,libe,747713.394364006,4308537.25272335,EM,7/25/2023 6:29:36 PM,-78.1439337526601,38.8908049353548,,""
both,quadratIsNA,170537,old_trees,,4,,,,,"","","","",,1,37,LI,"","",,,,"",0,,,,,0,libe,747713.394364006,4308537.25272335,EM,7/25/2023 6:29:36 PM,-78.1439337526601,38.8908049353548,,""
both,quadratIsNA,170537,old_trees,,5,,,,,"","","","",,1,22,LI,"","",,,,"",0,,,,,0,libe,747713.394364006,4308537.25272335,EM,7/25/2023 6:29:36 PM,-78.1439337526601,38.8908049353548,,""
both,quadratIsNA,170537,old_trees,,6,,,,,"","","","",,1,14,LI,"","",,,,"",0,,,,,0,libe,747713.394364006,4308537.25272335,EM,7/25/2023 6:29:36 PM,-78.1439337526601,38.8908049353548,,""
